,Country (or dependent territory),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
61,Germany,1592710.0,1869104.0,2128558.0,2069766.0,2211022.0,2594371.0,2504671.0,2221738.0,2246445.0,2202845.0,1955673.0,1952325.0,2086496.0,2510528.0,2823071.0,2866308.0,3005081.0,3444723.0,3770150.0,3426672.0,3423466.0,3761142.0,3545946.0,3753687.0,3885440.0,3377310.0,3479232.0,3700613.0,4000386.0,3963880.0
62,Ghana,14898.0,16673.0,16484.0,13383.0,12303.0,14544.0,15458.0,15786.0,17153.0,17756.0,11467.0,12227.0,14200.0,17494.0,20243.0,24521.0,28785.0,33941.0,38413.0,34254.0,43043.0,53645.0,56504.0,63279.0,53173.0,48595.0,54989.0,58978.0,65191.0,68258.0
63,Greece,97979.0,105642.0,116624.0,109010.0,116539.0,136968.0,145875.0,143343.0,144645.0,149040.0,132197.0,136308.0,154376.0,202311.0,240848.0,248207.0,273558.0,318940.0,356140.0,330837.0,299919.0,288062.0,245807.0,239937.0,236455.0,194958.0,192770.0,203493.0,219097.0,219752.0
64,Grenada,278.0,301.0,310.0,310.0,325.0,342.0,367.0,392.0,446.0,482.0,520.0,520.0,540.0,591.0,599.0,695.0,699.0,759.0,826.0,771.0,771.0,779.0,800.0,843.0,912.0,984.0,1056.0,1127.0,1196.0,1272.0
65,Guatemala,7106.0,8687.0,9625.0,10462.0,11855.0,13314.0,14218.0,16103.0,17488.0,16492.0,17187.0,18703.0,20777.0,21918.0,23965.0,27211.0,30231.0,34113.0,39137.0,37734.0,41338.0,47655.0,50388.0,53851.0,58722.0,63794.0,68763.0,75620.0,78979.0,82335.0
66,Guinea,2666.0,3015.0,3284.0,3279.0,3383.0,3693.0,3868.0,3783.0,3588.0,3461.0,2995.0,2829.0,2950.0,3446.0,3666.0,2937.0,2903.0,4157.0,4517.0,4635.0,4739.0,4475.0,5604.0,6119.0,6685.0,6738.0,8476.0,10401.0,11739.0,12623.0
67,Guinea-Bissau,323.0,457.0,489.0,381.0,435.0,460.0,438.0,416.0,376.0,406.0,364.0,380.0,410.0,477.0,532.0,588.0,592.0,697.0,869.0,829.0,851.0,1099.0,990.0,1046.0,1055.0,1041.0,1165.0,1350.0,1459.0,1538.0
68,Guyana,652.0,735.0,602.0,721.0,874.0,993.0,1116.0,1188.0,1114.0,1147.0,1123.0,1127.0,1160.0,1197.0,1260.0,1311.0,1455.0,1741.0,1916.0,2023.0,2262.0,2582.0,2854.0,2990.0,3078.0,3183.0,3504.0,3561.0,3636.0,3830.0
69,Haiti,990.0,888.0,533.0,610.0,1775.0,2813.0,2908.0,3339.0,3724.0,4154.0,3954.0,3596.0,3472.0,2960.0,3538.0,4310.0,4756.0,5885.0,6550.0,6584.0,6620.0,7516.0,7890.0,8451.0,8774.0,8672.0,8178.0,8608.0,9525.0,9602.0
70,Honduras,4169.0,4195.0,4675.0,4794.0,4693.0,5415.0,5217.0,5736.0,6366.0,6417.0,7104.0,7566.0,7775.0,8140.0,8772.0,9672.0,10842.0,12275.0,13790.0,14486.0,15730.0,17649.0,18464.0,18436.0,19688.0,20729.0,21644.0,23101.0,23778.0,24651.0
71,Hong Kong,76930.0,88960.0,104272.0,120355.0,135813.0,144652.0,159719.0,177356.0,168885.0,165770.0,171669.0,169407.0,166350.0,161384.0,169097.0,181570.0,193534.0,211599.0,219280.0,214046.0,228637.0,248514.0,262627.0,275697.0,291463.0,309406.0,320881.0,341659.0,363031.0,381720.0
72,Hungary,34264.0,34651.0,38616.0,40007.0,43023.0,46301.0,46538.0,47178.0,48662.0,49075.0,47209.0,53697.0,67561.0,85050.0,103695.0,112589.0,114801.0,139198.0,157291.0,129965.0,130258.0,140099.0,127321.0,134680.0,139295.0,121660.0,129144.0,139761.0,155703.0,168778.0
73,Iceland,6544.0,6993.0,7153.0,6271.0,6437.0,7173.0,7519.0,7596.0,8468.0,8931.0,8946.0,8144.0,9200.0,11304.0,13709.0,16691.0,17043.0,21295.0,17640.0,12887.0,13255.0,14675.0,14219.0,15479.0,17179.0,16784.0,20304.0,24493.0,25882.0,24544.0
74,India,326608.0,274842.0,293262.0,284194.0,333014.0,366600.0,399791.0,423189.0,428767.0,466841.0,476636.0,493934.0,523768.0,618369.0,721589.0,834218.0,949118.0,1238700.0,1224096.0,1365373.0,1708460.0,1822992.0,1828120.0,1857237.0,2033652.0,2089867.0,2273556.0,2652245.0,2716746.0,2971996.0
75,Indonesia,138258.0,154558.0,168280.0,190913.0,213727.0,244227.0,274722.0,260680.0,115323.0,169158.0,179482.0,174507.0,212807.0,255428.0,279556.0,310815.0,396293.0,470144.0,558582.0,577539.0,755256.0,892590.0,919002.0,916646.0,891051.0,861143.0,932445.0,1015292.0,1022454.0,1100911.0
76,Iran,569585.0,295443.0,48887.0,63625.0,79847.0,112783.0,154126.0,180421.0,201452.0,270641.0,357875.0,325377.0,128527.0,151743.0,181283.0,218207.0,257850.0,337654.0,390670.0,396694.0,463670.0,570039.0,382017.0,379436.0,414965.0,375404.0,404447.0,430709.0,452275.0,484663.0
77,Iraq,,,,,,,,,10469.0,18449.0,25857.0,18936.0,18970.0,15800.0,36642.0,50065.0,65144.0,88833.0,131614.0,111660.0,138517.0,185750.0,218032.0,234638.0,255534.0,179838.0,171716.0,193521.0,226070.0,225257.0
78,Ireland,48526.0,49638.0,56261.0,53745.0,59213.0,73175.0,80320.0,87780.0,97606.0,106754.0,99832.0,109103.0,127969.0,164285.0,193947.0,211698.0,232239.0,270056.0,274935.0,235714.0,221270.0,240483.0,225799.0,238991.0,255896.0,290241.0,304499.0,331597.0,372695.0,381571.0
79,Israel,58045.0,65844.0,73576.0,73948.0,84413.0,100279.0,109949.0,114714.0,115953.0,117195.0,142328.0,141638.0,132935.0,129682.0,149366.0,157463.0,169877.0,195743.0,234929.0,227319.0,255756.0,285373.0,303640.0,327318.0,354767.0,375094.0,351748.0,353268.0,369843.0,381569.0
80,Italy,1173063.0,1239527.0,1314814.0,1057442.0,1090596.0,1171510.0,1309315.0,1240577.0,1268032.0,1250203.0,1145109.0,1163316.0,1270994.0,1572653.0,1800756.0,1855834.0,1944339.0,2206109.0,2402062.0,2190700.0,2129021.0,2278376.0,2073971.0,2131157.0,2155153.0,1825820.0,1860152.0,1946888.0,2072201.0,2025866.0
81,Jamaica,4663.0,4285.0,4328.0,5516.0,5529.0,6543.0,7046.0,8076.0,8462.0,8496.0,8696.0,8835.0,9332.0,8994.0,9744.0,10761.0,11468.0,12359.0,13743.0,12107.0,13192.0,14409.0,14761.0,14203.0,13863.0,14218.0,14002.0,14773.0,15422.0,16152.0
82,Japan,3140669.0,3582802.0,3898138.0,4467123.0,4907582.0,5450805.0,4834019.0,4415715.0,4034448.0,4546050.0,4887301.0,4304758.0,4115197.0,4447378.0,4815772.0,4755980.0,4530475.0,4515264.0,5037910.0,5231384.0,5700099.0,6157460.0,6203213.0,5155716.0,4848733.0,4379868.0,4949272.0,4859951.0,4971929.0,5176205.0
83,Jordan,4161.0,4345.0,5369.0,5532.0,6197.0,6650.0,6928.0,7246.0,7912.0,8149.0,8461.0,8975.0,9582.0,10196.0,11411.0,12589.0,15057.0,17111.0,21963.0,23820.0,26425.0,28840.0,30981.0,33641.0,35878.0,37570.0,38709.0,40766.0,42371.0,44256.0
84,Kazakhstan,,,2875.0,5152.0,11648.0,16594.0,20893.0,22130.0,21624.0,16870.0,18292.0,22153.0,24637.0,30834.0,43152.0,57125.0,81003.0,104850.0,133441.0,115309.0,148047.0,192626.0,207999.0,236635.0,221416.0,184388.0,133668.0,162887.0,170539.0,164207.0
85,Kenya,12180.0,11501.0,11327.0,7869.0,9422.0,11944.0,13565.0,13742.0,15739.0,14353.0,14136.0,14536.0,14764.0,16796.0,18064.0,21001.0,25826.0,31958.0,35895.0,37022.0,40000.0,41672.0,50420.0,55129.0,61494.0,63624.0,70527.0,79212.0,89205.0,99246.0
86,Kiribati,43.0,47.0,48.0,47.0,55.0,56.0,67.0,67.0,66.0,69.0,68.0,63.0,72.0,91.0,103.0,112.0,109.0,131.0,142.0,132.0,154.0,177.0,188.0,188.0,186.0,160.0,182.0,186.0,189.0,187.0
87,South Korea,279215.0,325713.0,350078.0,386292.0,455645.0,556449.0,598063.0,557547.0,374140.0,485257.0,561595.0,533188.0,609017.0,680581.0,764892.0,898137.0,1012044.0,1122679.0,1002219.0,901935.0,1094499.0,1202464.0,1222807.0,1305605.0,1411334.0,1382764.0,1411042.0,1530751.0,1619424.0,1656674.0
